Dates,Lessons
Sep 11 2018,"Welcome to the ND, Welcome to Digital Marketing, DM Framework"
Sep 12 2018,"DM Framework, What: Your Business, Your Customer"
Sep 13 2018,"Your Customer, Where: Marketing Channel, Why: Marketing Objectives"
Sep 14 2018,Why: Marketing Objectives
Sep 15 2018-Sep 21 2018,Project: Welcome to 1st Project
Sep 22 2018,Plan your Strategy
Sep 23 2018,Create Content
Sep 24 2018,Promote Content
Sep 25 2018,Optimize Website UX
Sep 26 2018,Measure Impact
Sep 27 2018,Jobs in Content Marketing
Sep 28 2018,Social Media Landscape
Sep 29 2018,Social Media Channels
Sep 30 2018,Social Media Content
Oct 01 2018,Implement & Monitor Content
Oct 02 2018,Measure Impact
Oct 03 2018-Oct 09 2018,Project: Market your Content
Oct 10 2018,Intro to social media adv.
Oct 11 2018,Choose the right platforms
Oct 12 2018,"Facebook – getting started, Facebook – create ad sets, Facebook – create & manage"
Oct 13 2018-Oct 19 2018,Project: Facebook Campaign - I
Oct 20 2018-Oct 26 2018,Project: Facebook Campaign - II
Oct 27 2018,"How search works, Keywords, Tags & Site Structure"
Oct 28 2018,"Tags & Site Structure, Link Building, SEO Audit"
Oct 29 2018,SEO Audit
Oct 30 2018-Nov 05 2018,Project: Conduct SEO Audit
Nov 06 2018,"Intro to SEM, Keywords, Text Ads"
Nov 07 2018,"Text Ads, Ad Rank/ CPC bid, Navigate Adwords"
Nov 08 2018,"Navigate Adwords, Metrics & Optimizations"
Nov 09 2018-Nov 15 2018,Project: Run Adwords Campaign – I
Nov 16 2018-Nov 22 2018,Project: Run Adwords Campaign - II
Nov 23 2018,"How do Ads work?, Display ads & targeting, Display advertising sales"
Nov 24 2018,"Display advertising sales, Display adv w/ Adwords, Video Advertising"
Nov 25 2018,Video Advertising
Nov 26 2018-Dec 02 2018,Project: Evaluate ad campaign
Dec 03 2018,Email list generation
Dec 04 2018,Create effective email
Dec 05 2018,Create email plan
Dec 06 2018,Measure results
Dec 07 2018-Dec 13 2018,Project: Market w/ email
Dec 14 2018,Get oriented
Dec 15 2018,Understand your Audience
Dec 16 2018,Evaluate Acquisition
Dec 17 2018,Understand Behavior
Dec 18 2018,Evaluate Conversion
Dec 19 2018,Project: Improve LinkedIn
Dec 20 2018,Create a marketing plan
Dec 21 2018,Project: Create your portfolio
